Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm035ec4be6a0aa?pid=KTBFZB567YCWQQQG&lid=LSTKTBFZB567YCWQQQGVLRUTT&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIap9jtGTQGhyYxPNfeMHl6afFPgKRPmqPI8oKG4UYjbdg%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1502,Red,Full Sleeve,Hooded,100% Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm996fa1a020671?pid=KTBFZB56YC7Z2ZJH&lid=LSTKTBFZB56YC7Z2ZJHQLXROO&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIagmlDNVIrULxkIUaM%2Bl0dAQnhXxIuhlPhA1J9Ltg3WEA%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1502,Navy Blue,Full Sleeve,Hooded,100% Cotton,Regular,1
Killer,Boys Printed Pure Cotton T Shirt,4.4,719.0,https://www.flipkart.com/killer-boys-printed-pure-cotton-t-shirt/p/itm6f0f4a3e75934?pid=KTBFNWN72MUGKRBG&lid=LSTKTBFNWN72MUGKRBGOLL4FP&marketplace=FLIPKART&spotlightTagId=TrendingId_clo%2Fash%2Fank%2Fpgi&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFNWN72MUGKRBG.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,10,Multicolor,Half Sleeve,Round Neck,100% Cotton,Regular,1
Gkidz,Boys Printed Cotton Blend T Shirt,4.2,699.0,https://www.flipkart.com/gkidz-boys-printed-cotton-blend-t-shirt/p/itmf3w5euw8hy3nw?pid=KTBEXTDZAFWHDFDD&lid=LSTKTBEXTDZAFWHDFDDNEQBR5&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBEXTDZAFWHDFDD.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,10157,Yellow,Full Sleeve,Round Neck,100% Cotton,Regular,1
Miss & Chief,Boys Printed Pure Cotton T Shirt,4.6,799.0,https://www.flipkart.com/miss-chief-boys-printed-pure-cotton-t-shirt/p/itm809d840332516?pid=KTBFZ5EBEZFHMAGD&lid=LSTKTBFZ5EBEZFHMAGDEIND8T&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5EBEZFHMAGD.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,46,Blue||Yellow||Light Green||Pink||Yellow,Half Sleeve,Round Neck,100% Cotton,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,701.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itmad94708d84351?pid=KTBFSZQUH8HWFEZ5&lid=LSTKTBFSZQUH8HWFEZ5P4PUTY&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZQUH8HWFEZ5.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,"Blue, Black",Full Sleeve,Hooded,Pure Cotton,Regular,1
FabTag - Kiddeo,Boys Printed Cotton Blend T Shirt,4.2,799.0,https://www.flipkart.com/fabtag-kiddeo-boys-printed-cotton-blend-t-shirt/p/itmf3w87a2zr2anr?pid=KTBEWECYBFMRBZHG&lid=LSTKTBEWECYBFMRBZHGYRJTXY&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBEWECYBFMRBZHG.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,6403,Multicolor,Half Sleeve,Round Neck,Cotton,Regular,1
Kuchipoo,Boys & Girls Self Design Cotton Blend T Shirt,4.0,499.0,https://www.flipkart.com/kuchipoo-boys-girls-self-design-cotton-blend-t-shirt/p/itmf5jtextzu7cdn?pid=KTBF5JD7WA9TFRZQ&lid=LSTKTBF5JD7WA9TFRZQJDAKPG&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBF5JD7WA9TFRZQ.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1400,Multicolor,Half Sleeve,Polo Neck,Cotton,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,701.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itm4d2505e26bea0?pid=KTBFSZQ2AZWYPPZE&lid=LSTKTBFSZQ2AZWYPPZEUCLKQJ&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZQ2AZWYPPZE.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,"White, Blue",Full Sleeve,Hooded,Pure Cotton,Regular,1
Tripr,Boys Printed Cotton Blend T Shirt,4.1,451.0,https://www.flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itm343333558899a?pid=KTBFZM7SVAATHFCH&lid=LSTKTBFZM7SVAATHFCHXIATJD&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZM7SVAATHFCH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2264,Maroon-Grey,Full Sleeve,Hooded,80% Cotton-20% Polyester,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,729.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itmcf30d295d111e?pid=KTBFSZKECGUP7BGF&lid=LSTKTBFSZKECGUP7BGFXX32JI&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZKECGUP7BGF.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,Red Yellow,Full Sleeve,Hooded,Pure Cotton,Regular,1
Miss & Chief,Boys Printed Pure Cotton T Shirt,4.3,519.0,https://www.flipkart.com/miss-chief-boys-printed-pure-cotton-t-shirt/p/itmde0a87b150791?pid=KTBFZ5D8MFA5KXPA&lid=LSTKTBFZ5D8MFA5KXPAFGLOCD&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5D8MFA5KXPA.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,82,White||Red||Dark Blue,Half Sleeve,Round Neck,100% Cotton,Regular,1
FastColors,t shirt tshirt for boys casual tees full sleeve tshirts...,3.8,399.0,https://www.flipkart.com/fastcolors-boys-solid-cotton-blend-t-shirt/p/itm2b42be01bd480?pid=KTBFPPA2HEDHEXCG&lid=LSTKTBFPPA2HEDHEXCGPYLBNX&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFPPA2HEDHEXCG.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,57,"Red, Blue",Full Sleeve,Hooded,Cotton Blend,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itmb76b9a85330e8?pid=KTBFZCW6XVDXFMVB&lid=LSTKTBFZCW6XVDXFMVBPU82AJ&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIYDv02gQ9e3Gv00yFone%2BRlP5M%2BZwHiPiJJY%2Bh3unRwPw%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,733,Navy Blue,Full Sleeve,Hooded,100%Cotton,Regular,1
Miss & Chief,Boys Printed Pure Cotton T Shirt,4.7,359.0,https://www.flipkart.com/miss-chief-boys-printed-pure-cotton-t-shirt/p/itm43058faa10cd7?pid=KTBFZ5EBBCWP6CFA&lid=LSTKTBFZ5EBBCWP6CFAGI006X&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5EBBCWP6CFA.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,15,Black||Light Green,Half Sleeve,Round Neck,100% Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm3cf4d51a5d955?pid=KTBFZUFQYGGHZ5HX&lid=LSTKTBFZUFQYGGHZ5HXDYGG8E&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZUFQYGGHZ5HX.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1714,Black,Full Sleeve,Round Neck,100% Cotton,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,649.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itm2a4e92ea8d141?pid=KTBFSZZTTKZSSBWD&lid=LSTKTBFSZZTTKZSSBWDJLTW51&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZZTTKZSSBWD.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,Yellow Red,Full Sleeve,Hooded,Pure Cotton,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,649.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itm82b68f38d6ce2?pid=KTBFSZJUZAHYZ8VH&lid=LSTKTBFSZJUZAHYZ8VHQ3SXNB&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZJUZAHYZ8VH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,"Grey, Yellow",Full Sleeve,Hooded,Pure Cotton,Regular,1
Provogue,Boys Printed Pure Cotton T Shirt,4.5,239.0,https://www.flipkart.com/provogue-boys-printed-pure-cotton-t-shirt/p/itm9336fc066e6eb?pid=KTBFZ4ANFP4ZEZHW&lid=LSTKTBFZ4ANFP4ZEZHWSDWIT2&marketplace=FLIPKART&spotlightTagId=TrendingId_clo%2Fash%2Fank%2Fpgi&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ4ANFP4ZEZHW.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,30,Yellow,Half Sleeve,Round Neck,Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm8a2ce697721d2?pid=KTBFZB5Y7S2GDBSV&lid=LSTKTBFZB5Y7S2GDBSV1PR1TR&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIaD8CuzsCPd9igs6rqZNxcwa9n6nOQ7bOxpEZQqbx%2BcUg%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,601,Red,Full Sleeve,Round Neck,100% Cotton,Regular,1
Provogue,Boys Printed Pure Cotton T Shirt,4.3,259.0,https://www.flipkart.com/provogue-boys-printed-pure-cotton-t-shirt/p/itmdbbee2cf0abef?pid=KTBFZ4ANFSCDBRFC&lid=LSTKTBFZ4ANFSCDBRFCAE9XE0&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ4ANFSCDBRFC.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,44,Red,Half Sleeve,Round Neck,Cotton,Regular,1
Luke and Lilly,Boys Printed Cotton Blend T Shirt,4.2,629.0,https://www.flipkart.com/luke-lilly-boys-printed-cotton-blend-t-shirt/p/itmfhszpetqjfjyr?pid=KTBFAYRF3GM5GEGH&lid=LSTKTBFAYRF3GM5GEGHBZFLOY&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFAYRF3GM5GEGH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1325,Multicolor1,Half Sleeve,Round Neck,Cotton,Regular,1
Tripr,Boys Printed Cotton Blend T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itm90a9f3428419f?pid=KTBFZM7SAXBHUFVN&lid=LSTKTBFZM7SAXBHUFVN5BMTRC&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZM7SAXBHUFVN.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2264,Red-Black,Full Sleeve,Hooded,80% Cotton-20% Polyester,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.0,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm61db4bf7cceeb?pid=KTBFPP52DZC86CZX&lid=LSTKTBFPP52DZC86CZXYHD5M9&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIaWwFPnY2pM%2FMNfC1EC9v5EShKHyi9FRI7zErlCMeZPxA%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,17,Navy Blue,Half Sleeve,Round Neck,100%Cotton,Regular,1
